n_documents,n_queries,top_k,embed_dim,data_type,system,setup_time,avg_query_time,std_query_time,avg_upload_bytes,avg_download_bytes,recall_at_1,recall_at_5,recall_at_10,precision_at_1,precision_at_5,precision_at_10,ndcg_at_10,mrr
10000,3,10,192,dataset,PIR-RAG,2.086431299976539,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10000,3,10,192,dataset,Graph-PIR,103.5050324999902,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10000,3,10,192,dataset,Tiptoe,0.9843797000066843,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
