n_documents,PIR-RAG_setup_time,PIR-RAG_avg_query_time,PIR-RAG_std_query_time,PIR-RAG_avg_upload_bytes,PIR-RAG_avg_download_bytes,Graph-PIR_setup_time,Graph-PIR_avg_query_time,Graph-PIR_std_query_time,Graph-PIR_avg_upload_bytes,Graph-PIR_avg_download_bytes,Tiptoe_setup_time,Tiptoe_avg_query_time,Tiptoe_std_query_time,Tiptoe_avg_upload_bytes,Tiptoe_avg_download_bytes
500,1.4720633999968413,0.9313117200043053,0.019689532331355016,2400.0,23836643.0,1.4529838000016753,2.32459415999474,0.03746602883865162,332339.2,109120.0,0.33445180000853725,0.002878600003896281,0.0016508205717617277,1184.0,1184.0
1000,0.08418710000114515,1.7437671400024555,0.0950384152521315,4800.0,47584237.4,3.998520599998301,2.762703559995862,0.09474033543172387,652646.4,111040.0,0.4698031000152696,0.005851040006382391,0.006379470023954945,2659.2,2659.2
2000,0.3677949999982957,3.4100648200022987,0.06419236716483046,9600.0,95049002.6,11.566060200013453,3.373095379996812,0.11907180250152176,1292441.6,109760.0,0.5980522999889217,0.008769259986001999,0.009438824222553734,3465.6,3465.6
5000,2.2694363000045996,9.018887320009526,0.2068610347639795,24000.0,237563184.2,41.49855970000499,4.608291499991902,0.10979772498192136,3208857.6,87360.0,0.7464529999997467,0.0016392400022596121,0.0002884583527153943,848.0,848.0
