n_documents,n_queries,top_k,embed_dim,data_type,system,setup_time,avg_query_time,std_query_time,avg_upload_bytes,avg_download_bytes,recall_at_1,recall_at_5,recall_at_10,precision_at_1,precision_at_5,precision_at_10,ndcg_at_10,mrr
1299,3,10,128,dataset,PIR-RAG,1.8349335999810137,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1299,3,10,128,dataset,Graph-PIR,4.285433799988823,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1299,3,10,128,dataset,Tiptoe,0.3791291000088677,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
