n_documents,n_queries,top_k,embed_dim,data_type,system,setup_time,avg_query_time,std_query_time,avg_upload_bytes,avg_download_bytes,recall_at_1,recall_at_5,recall_at_10,precision_at_1,precision_at_5,precision_at_10,ndcg_at_10,mrr
2,2,10,512,dataset,PIR-RAG,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
2,2,10,512,dataset,Graph-PIR,0.005968199984636158,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,10,512,dataset,Tiptoe,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
