n_documents,PIR-RAG_setup_time,PIR-RAG_avg_query_time,PIR-RAG_std_query_time,PIR-RAG_avg_upload_bytes,PIR-RAG_avg_download_bytes,Graph-PIR_setup_time,Graph-PIR_avg_query_time,Graph-PIR_std_query_time,Graph-PIR_avg_upload_bytes,Graph-PIR_avg_download_bytes,Tiptoe_setup_time,Tiptoe_avg_query_time,Tiptoe_std_query_time,Tiptoe_avg_upload_bytes,Tiptoe_avg_download_bytes
500,,,,,,2.328281899972353,3.0069890199985823,0.048034327252389056,332544.0,135488.0,0.41182050001225434,0.002357039996422827,0.0012748936990549281,892.8,892.8
1000,,,,,,5.594525299995439,3.2963190399983433,0.08015412604339146,652492.8,135065.6,0.5863833999901544,0.002290100004756823,0.0012066109323226367,1065.6,1065.6
2000,,,,,,13.409999000024982,4.0066148599958975,0.05510398835639862,1292646.4,136332.8,0.8891089000098873,0.016284280008403585,0.0039037698820840816,6048.0,6048.0
5000,,,,,,41.436254300002474,5.928193040000042,0.4820516738272313,3208857.6,105075.2,1.4509211999829859,0.028324420005083083,0.004340086534537915,7168.0,7168.0
