n_documents,PIR-RAG_setup_time,PIR-RAG_avg_query_time,PIR-RAG_std_query_time,PIR-RAG_avg_upload_bytes,PIR-RAG_avg_download_bytes,Graph-PIR_setup_time,Graph-PIR_avg_query_time,Graph-PIR_std_query_time,Graph-PIR_avg_upload_bytes,Graph-PIR_avg_download_bytes,Tiptoe_setup_time,Tiptoe_avg_query_time,Tiptoe_std_query_time,Tiptoe_avg_upload_bytes,Tiptoe_avg_download_bytes
1000,0.1876099957153201,2.7252642255276442,0.02975253381657502,4800.0,94933972.8,2.8514312505722046,4.503435929864645,0.03137271354564513,652595.2,186291.2,0.26287359185516834,3.8101680690422652,0.40417648956297336,13421.4,13421.4
2000,0.3425382114946842,5.461246084421873,0.09891200168703158,9600.0,189668704.6,6.772217391058803,5.152542258612812,0.13390180725384349,1292697.6,187545.6,0.33631135057657957,5.6233391838148234,0.9684073106820895,17759.6,17759.6
3000,0.806771531701088,8.071516421251,0.07030526529419753,14400.0,284406327.6,11.110055745579302,4.823542682081461,0.056983020866860856,1930035.2,154931.2,0.41332410369068384,5.432943239808083,1.7962461570282409,17202.4,17202.4
4000,1.4088162295520306,10.773029727302491,0.15651579741572638,19200.0,379072113.6,15.575599449686706,6.154912939667701,0.11978192642003122,2572339.2,183155.2,0.4881966058164835,8.012517227232456,3.727610484539387,23092.8,23092.8
