n_documents,PIR-RAG_setup_time,PIR-RAG_avg_query_time,PIR-RAG_std_query_time,PIR-RAG_avg_upload_bytes,PIR-RAG_avg_download_bytes,Graph-PIR_setup_time,Graph-PIR_avg_query_time,Graph-PIR_std_query_time,Graph-PIR_avg_upload_bytes,Graph-PIR_avg_download_bytes,Tiptoe_setup_time,Tiptoe_avg_query_time,Tiptoe_std_query_time,Tiptoe_avg_upload_bytes,Tiptoe_avg_download_bytes
1000,0.13944440614432096,2.81811550129205,0.05657867396200143,4800.0,94933972.8,2.8071963163092732,2.541965857706964,0.027872193853960215,646348.8,109772.8,0.5219628978520632,3.7467629807069898,0.4294526991093245,13421.4,13421.4
2000,0.407512154430151,5.516465182043612,0.07635172900068826,9600.0,189668704.6,6.696244354359806,3.0812095988541843,0.13868302366167007,1286092.8,106636.8,0.3367701284587383,5.604819329455495,0.9554473987667436,17759.6,17759.6
3000,1.0066519994288683,8.161176825501025,0.10929542569675378,14400.0,284406327.6,10.756615289486945,3.2317546574398874,0.19325813673851805,1886668.8,93452.8,0.41504797618836164,5.417271193116903,1.6896876718435088,17202.4,17202.4
4000,1.7499380204826593,10.816666527278722,0.11644474835023379,19200.0,379072113.6,14.972693256102502,4.2443695636466146,0.020558322439136235,2566348.8,109772.8,0.4690806567668915,8.002073821984231,3.7050401305353717,23092.8,23092.8
