n_documents,PIR-RAG_setup_time,PIR-RAG_avg_query_time,PIR-RAG_std_query_time,PIR-RAG_avg_upload_bytes,PIR-RAG_avg_download_bytes,Graph-PIR_setup_time,Graph-PIR_avg_query_time,Graph-PIR_std_query_time,Graph-PIR_avg_upload_bytes,Graph-PIR_avg_download_bytes,Tiptoe_setup_time,Tiptoe_avg_query_time,Tiptoe_std_query_time,Tiptoe_avg_upload_bytes,Tiptoe_avg_download_bytes
1000,0.19345048256218433,2.856706229224801,0.18444224951355329,4800.0,94933972.8,2.772969271056354,2.5396980991587044,0.035595627336852155,646297.6,109145.6,,,,,
2000,0.33234910387545824,5.473654133826495,0.07878486589066168,9600.0,189668704.6,6.538267341442406,3.1140605069696905,0.07168991182397283,1286246.4,108518.4,,,,,
3000,0.8548761364072561,8.124261555075645,0.04895277089911136,14400.0,284406327.6,10.835108798928559,3.270780240558088,0.22371371246028476,1886720.0,94080.0,,,,,
4000,1.5096438135951757,10.739511610195041,0.10113819924415902,19200.0,379072113.6,15.019289443269372,4.272600854001939,0.0612305672776855,2566246.4,108518.4,,,,,
