n_documents,PIR-RAG_setup_time,PIR-RAG_avg_query_time,PIR-RAG_std_query_time,PIR-RAG_avg_upload_bytes,PIR-RAG_avg_download_bytes,Graph-PIR_setup_time,Graph-PIR_avg_query_time,Graph-PIR_std_query_time,Graph-PIR_avg_upload_bytes,Graph-PIR_avg_download_bytes,Tiptoe_setup_time,Tiptoe_avg_query_time,Tiptoe_std_query_time,Tiptoe_avg_upload_bytes,Tiptoe_avg_download_bytes
1000,0.13465683069080114,2.600999430939555,0.029025168935943427,4800.0,94864996.0,3.9108209190890193,2.4071594515815375,0.23458013804548467,645939.2,104755.2,1.0903782276436687,1.1935020435601473,0.5963487150059935,0.0,0.0
2000,0.33570105861872435,5.257461858168244,0.07773955665638237,9600.0,189606684.0,9.23685864917934,2.747463187016547,0.18619518977302857,1285273.6,96601.6,1.7422597100958228,1.5374930795282125,0.04631643413145145,0.0,0.0
3000,0.7959534171968699,7.807861940562725,0.024608228583380923,14400.0,284351150.2,15.654069555923343,3.3599208083003758,0.1091572024674971,1925427.2,98483.2,2.3928554113954306,1.1922557352110743,0.5956114029518419,0.0,0.0
4000,1.3816151628270745,10.40586983151734,0.032067786478172496,19200.0,379103150.0,21.84749978315085,3.975564483180642,0.2384390747750036,2565529.6,99737.6,2.522072685882449,1.4942008865997196,0.004819271045212516,0.0,0.0
