n_documents,PIR-RAG_setup_time,PIR-RAG_avg_query_time,PIR-RAG_std_query_time,PIR-RAG_avg_upload_bytes,PIR-RAG_avg_download_bytes,Graph-PIR_setup_time,Graph-PIR_avg_query_time,Graph-PIR_std_query_time,Graph-PIR_avg_upload_bytes,Graph-PIR_avg_download_bytes,Tiptoe_setup_time,Tiptoe_avg_query_time,Tiptoe_std_query_time,Tiptoe_avg_upload_bytes,Tiptoe_avg_download_bytes
500,0.07366588898003101,1.4313016321510077,0.05758350197210742,2400.0,47614558.4,1.1429556673392653,4.120053424499929,0.0600358266802987,332339.2,183155.2,0.13522295840084553,3.7587414367124437,0.999223270150892,13461.2,13461.2
1000,0.09688306041061878,2.7521427663043143,0.05166070959723367,4800.0,94948432.2,2.824031920172274,4.513318437337875,0.030265676310724597,652595.2,186291.2,0.2319219233468175,4.6702646158635615,1.064003470446172,15530.8,15530.8
2000,0.3402651892974973,5.555563650466501,0.15696828448001293,9600.0,189660417.4,6.585292240604758,5.02606644667685,0.061808525879734365,1292441.6,184409.6,0.2963827755302191,10.246778688579798,2.1983546597070895,28704.6,28704.6
5000,2.3349278001114726,13.634905191883444,0.10473012232187366,24000.0,473872951.4,19.76490632724017,5.426204257085919,0.2791942614868203,3208243.2,132979.2,0.48757498152554035,27.483340918459,7.981061697569167,68902.6,68902.6
