n_documents,n_queries,top_k,embed_dim,data_type,system,setup_time,avg_query_time,std_query_time,avg_upload_bytes,avg_download_bytes,avg_communication_per_query,precision_at_k,recall_at_k,ndcg_at_k,avg_similarity,queries_per_second,communication_efficiency
100,1,10,768,real,PIR-RAG,0.0031662220135331154,0.7222493775188923,N/A,N/A,N/A,18943710.0,0.0,0.0,0.0,0.0,1.3845633255306509,1894371.0
100,1,10,768,real,Graph-PIR,0.5059825591742992,1.402591872960329,N/A,N/A,N/A,153664.0,0.2,0.2,0.3589542101716347,0.18264885246753693,0.7129657737780747,15366.4
100,1,10,768,real,Tiptoe,0.043159556575119495,1.7402409631758928,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.17736302316188812,0.5746330658571713,0.0
