n_documents,PIR-RAG_setup_time,PIR-RAG_avg_query_time,PIR-RAG_std_query_time,PIR-RAG_avg_upload_bytes,PIR-RAG_avg_download_bytes,Graph-PIR_setup_time,Graph-PIR_avg_query_time,Graph-PIR_std_query_time,Graph-PIR_avg_upload_bytes,Graph-PIR_avg_download_bytes,Tiptoe_setup_time,Tiptoe_avg_query_time,Tiptoe_std_query_time,Tiptoe_avg_upload_bytes,Tiptoe_avg_download_bytes
1000,0.18193956092000008,2.783266144618392,0.03978325053005322,4800.0,94933972.8,2.8235171921551228,6.854963397001848,0.038874520615678955,660070.4,277862.4,0.277762602083385,3.8723684986121953,0.3956956049943076,13421.4,13421.4
2000,0.42334410990588367,5.520556990476325,0.04245087669118288,9600.0,189668704.6,6.603466464905068,7.502836161432787,0.10789983741818719,1300224.0,279744.0,0.41904832795262337,2.9639779427088797,0.2604044378377207,11471.2,11471.2
3000,1.1612494599539787,8.238163164863362,0.054529829072990255,14400.0,284406327.6,10.918336187954992,6.687036054348573,0.2889238188928453,1935820.8,225804.8,0.6206736930180341,3.089709677407518,0.6639116714105708,11991.4,11991.4
4000,1.3627123469486833,10.654296889994294,0.2799272155720809,19200.0,379072113.6,15.36730837309733,8.698375611566007,0.05052028537075617,2580172.8,279116.8,0.8040865620132536,2.5727268458809704,0.9335324986715129,10387.2,10387.2
