n_documents,PIR-RAG_setup_time,PIR-RAG_avg_query_time,PIR-RAG_std_query_time,PIR-RAG_avg_upload_bytes,PIR-RAG_avg_download_bytes,Graph-PIR_setup_time,Graph-PIR_avg_query_time,Graph-PIR_std_query_time,Graph-PIR_avg_upload_bytes,Graph-PIR_avg_download_bytes,Tiptoe_setup_time,Tiptoe_avg_query_time,Tiptoe_std_query_time,Tiptoe_avg_upload_bytes,Tiptoe_avg_download_bytes
1000,0.13385961391031742,2.6322474420070647,0.022553822619024035,4800.0,94914646.2,4.0148074654862285,2.407254644110799,0.21973203400272556,645939.2,104755.2,1.0887251701205969,1.4916914120316505,0.005990141918733159,7607.0,7607.0
2000,0.33593999966979027,5.271337081491947,0.05471756967262758,9600.0,189628755.6,9.613414444960654,2.7620463920757174,0.246201282891726,1285324.8,97228.8,1.7511770445853472,1.492040645517409,0.002963209868260392,7607.0,7607.0
3000,0.7863302361220121,7.804460330866277,0.05273950069406523,14400.0,284336543.4,16.057567195035517,3.2056590327993035,0.13151169441779453,1924915.2,92211.2,2.3883248139172792,1.4885707249864937,0.005569685769078254,7607.0,7607.0
4000,1.3763290084898472,10.425815039686858,0.09484001642434797,19200.0,379086615.0,22.238645276986063,3.7407225823029875,0.13726384254523302,2564812.8,90956.8,2.5360375912860036,1.5064352717250586,0.03127144456907692,7637.2,7637.2
