n_documents,PIR-RAG_setup_time,PIR-RAG_avg_query_time,PIR-RAG_std_query_time,PIR-RAG_avg_upload_bytes,PIR-RAG_avg_download_bytes,Graph-PIR_setup_time,Graph-PIR_avg_query_time,Graph-PIR_std_query_time,Graph-PIR_avg_upload_bytes,Graph-PIR_avg_download_bytes,Tiptoe_setup_time,Tiptoe_avg_query_time,Tiptoe_std_query_time,Tiptoe_avg_upload_bytes,Tiptoe_avg_download_bytes
1000,0.13426804076880217,2.6554231628775598,0.0360426410324472,4800.0,94943572.8,,,,,,1.092590513639152,0.8975203964859247,0.7321817198797281,0.0,0.0
2000,0.3348880326375365,5.2255828255787495,0.02378178849634434,9600.0,189596315.8,,,,,,1.8793677417561412,1.5381118634715676,0.04542759557042189,0.0,0.0
3000,0.796236022375524,7.8127688592299815,0.036374573965847846,14400.0,284315083.6,,,,,,2.389207873493433,0.9054730981588364,0.7385821614430532,0.0,0.0
4000,1.381708418019116,10.397023455798626,0.010760312741424694,19200.0,379021756.8,,,,,,2.52846528403461,1.492088277079165,0.0061311804645090735,0.0,0.0
