n_documents,PIR-RAG_setup_time,PIR-RAG_avg_query_time,PIR-RAG_std_query_time,PIR-RAG_avg_upload_bytes,PIR-RAG_avg_download_bytes,Graph-PIR_setup_time,Graph-PIR_avg_query_time,Graph-PIR_std_query_time,Graph-PIR_avg_upload_bytes,Graph-PIR_avg_download_bytes,Tiptoe_setup_time,Tiptoe_avg_query_time,Tiptoe_std_query_time,Tiptoe_avg_upload_bytes,Tiptoe_avg_download_bytes
1000,0.1397438244894147,2.755363148637116,0.05410203536657818,4800.0,94933972.8,2.7658971501514316,4.478176734596491,0.06185412011607997,652492.8,185036.8,0.25571959000080824,3.7693238837644456,0.42207733215394566,13421.4,13421.4
2000,0.3402844602242112,5.4346439519897105,0.09085504424323987,9600.0,189668704.6,6.48487934935838,5.063485442474485,0.10250933958223267,1292390.4,183782.4,0.389354825951159,5.57363790012896,0.9520300665966644,17759.6,17759.6
3000,0.8033598000183702,8.102400199137628,0.09986041837440855,14400.0,284406327.6,10.863645697943866,4.862194008752704,0.20563085731873648,1930086.4,155558.4,0.41235693357884884,5.453308617696166,1.7748558416877367,17202.4,17202.4
4000,1.4110898142680526,10.733059190399945,0.09159245153791876,19200.0,379072113.6,15.20413669012487,6.2469822177663445,0.09770161155755523,2572492.8,185036.8,0.48804091289639473,7.934000896662473,3.634618610474417,23092.8,23092.8
