n_documents,PIR-RAG_setup_time,PIR-RAG_avg_query_time,PIR-RAG_std_query_time,PIR-RAG_avg_upload_bytes,PIR-RAG_avg_download_bytes,Graph-PIR_setup_time,Graph-PIR_avg_query_time,Graph-PIR_std_query_time,Graph-PIR_avg_upload_bytes,Graph-PIR_avg_download_bytes,Tiptoe_setup_time,Tiptoe_avg_query_time,Tiptoe_std_query_time,Tiptoe_avg_upload_bytes,Tiptoe_avg_download_bytes
1000,0.18177439109422266,2.855377481225878,0.029521567238251802,4800.0,94904952.6,3.562967310892418,13.056122046662495,0.10255278374702467,679782.4,519334.4,0.27705500298179686,2.4466920003760606,0.2980749533742556,9986.4,9986.4
2000,0.539714161073789,5.730402045231313,0.10626132320996919,9600.0,189628012.2,7.5855782479047775,13.684486740222201,0.14424410960348677,1319987.2,521843.2,0.4069229618180543,1.959723518975079,0.29298214170909354,8606.0,8606.0
3000,1.1779179638251662,8.187652575364336,0.21677342602011831,14400.0,284368960.0,11.627637255005538,11.887445808993652,0.3666176999448241,1952102.4,425254.4,0.5862770329695195,2.261155493883416,1.0593705982832868,9223.6,9223.6
4000,1.9094430778641254,11.311225526873022,0.0386272488826351,19200.0,379053496.8,17.168209996074438,15.250193784432486,0.13792126260555626,2600345.6,526233.6,0.8136713767889887,1.5612295449711382,0.0069189222234839025,7607.0,7607.0
