n_documents,PIR-RAG_setup_time,PIR-RAG_avg_query_time,PIR-RAG_std_query_time,PIR-RAG_avg_upload_bytes,PIR-RAG_avg_download_bytes,Graph-PIR_setup_time,Graph-PIR_avg_query_time,Graph-PIR_std_query_time,Graph-PIR_avg_upload_bytes,Graph-PIR_avg_download_bytes,Tiptoe_setup_time,Tiptoe_avg_query_time,Tiptoe_std_query_time,Tiptoe_avg_upload_bytes,Tiptoe_avg_download_bytes
1000,0.15824651205912232,2.843197013810277,0.012546680837990674,4800.0,94896033.0,2.7947973201517016,6.769272024929523,0.09175063024884579,659763.2,274099.2,0.27660745987668633,2.8532408883795144,0.7560003130214871,11152.8,11152.8
2000,0.5211742338724434,5.6133854168467225,0.04669102307645224,9600.0,189610869.2,6.781820083037019,7.494837733823806,0.17336293643356004,1300121.6,278489.6,0.38611875497736037,2.756661831960082,0.8099849112177331,10728.4,10728.4
3000,0.9804168080445379,8.411101332399994,0.05878207955157784,14400.0,284393105.0,11.175020409049466,6.776967587834224,0.2450843320151599,1936025.6,228313.6,0.5472031028475612,2.449325585598126,0.989564961319355,10141.2,10141.2
4000,1.3378171119838953,11.101615726435558,0.043812467546009586,19200.0,379028686.2,15.571402727160603,8.759865045780316,0.09668938518524157,2580121.6,278489.6,0.6989355620462447,2.2459618506021797,0.8696117332212363,9407.4,9407.4
