n_documents,PIR-RAG_setup_time,PIR-RAG_avg_query_time,PIR-RAG_std_query_time,PIR-RAG_avg_upload_bytes,PIR-RAG_avg_download_bytes,Graph-PIR_setup_time,Graph-PIR_avg_query_time,Graph-PIR_std_query_time,Graph-PIR_avg_upload_bytes,Graph-PIR_avg_download_bytes,Tiptoe_setup_time,Tiptoe_avg_query_time,Tiptoe_std_query_time,Tiptoe_avg_upload_bytes,Tiptoe_avg_download_bytes
100,0.04548810236155987,0.3607059773057699,0.04003050166611493,480.0,9691393.4,0.30288136284798384,1.7818037981167436,0.09246379299282116,69580.8,100364.8,0.06625185161828995,0.6295563869178296,0.31447801949172516,0.0,0.0
500,0.013396057300269604,2.315869187004864,0.14687756626868734,480.0,48391772.6,1.610510976985097,2.1073259746655824,0.19667831573135197,325888.0,104128.0,0.31904465425759554,1.4985279735177754,0.013415948920020121,0.0,0.0
1000,0.017645133659243584,6.400647698901594,0.2977490009854354,480.0,96789332.2,3.8213123185560107,2.5269277835264803,0.12366285439009293,646297.6,109145.6,1.0879425378516316,0.8948929378762841,0.730022946816197,0.0,0.0
2000,0.03970888629555702,27.989203688316046,4.992370117679911,480.0,193555836.2,9.807031562551856,2.8293805053457617,0.18596736649168202,1285376.0,97856.0,1.7455253172665834,1.497731525823474,0.011192281225397416,0.0,0.0
