n_documents,PIR-RAG_setup_time,PIR-RAG_avg_query_time,PIR-RAG_std_query_time,PIR-RAG_avg_upload_bytes,PIR-RAG_avg_download_bytes,Graph-PIR_setup_time,Graph-PIR_avg_query_time,Graph-PIR_std_query_time,Graph-PIR_avg_upload_bytes,Graph-PIR_avg_download_bytes,Tiptoe_setup_time,Tiptoe_avg_query_time,Tiptoe_std_query_time,Tiptoe_avg_upload_bytes,Tiptoe_avg_download_bytes
100,0.14564450085163116,0.42225645780563353,0.16276734701134568,480.0,9703790.4,,,,,,0.0660430695861578,0.7869159564375877,0.023377207271024374,0.0,0.0
500,0.029474878683686256,1.3246996080502869,0.012605472824899787,2400.0,47540575.8,,,,,,0.31748692877590656,1.2487732591107488,0.6239745257676924,0.0,0.0
1000,0.09503391943871975,2.628650407679379,0.019559688654863325,4800.0,94867118.2,,,,,,1.0930103724822402,0.8959544394165277,0.7307891962187527,0.0,0.0
2000,0.33400030340999365,5.254172052629292,0.054105581759216495,9600.0,189603872.8,,,,,,1.8783439323306084,1.5132076520472766,0.03186226988574603,0.0,0.0
