n_documents,PIR-RAG_setup_time,PIR-RAG_avg_query_time,PIR-RAG_std_query_time,PIR-RAG_avg_upload_bytes,PIR-RAG_avg_download_bytes,Graph-PIR_setup_time,Graph-PIR_avg_query_time,Graph-PIR_std_query_time,Graph-PIR_avg_upload_bytes,Graph-PIR_avg_download_bytes,Tiptoe_setup_time,Tiptoe_avg_query_time,Tiptoe_std_query_time,Tiptoe_avg_upload_bytes,Tiptoe_avg_download_bytes
100,0.04166434332728386,0.35111841205507516,0.03941731381962089,480.0,9694838.8,0.4956995230168104,2.1292592376470565,0.2471095233582729,70707.2,114163.2,0.0656608585268259,0.625398987531662,0.31219114827018163,0.0,0.0
500,0.029674384742975235,1.3208153448998927,0.013108053260960657,2400.0,47504687.0,2.01879938878119,2.121550554409623,0.1456631641025743,325939.2,104755.2,0.3241403307765722,1.508122290112078,0.04322389919555705,0.0,0.0
1000,0.09701427817344666,2.639883128926158,0.015416833763274245,4800.0,94911874.6,4.524529388174415,2.4242360977455975,0.23765776462914864,645888.0,104128.0,1.106133227236569,1.5140212688595056,0.03625751139520473,0.0,0.0
2000,0.33550961781293154,5.306787536852061,0.015007192111115055,9600.0,189601832.4,10.758794498629868,2.748506080172956,0.17944442862733417,1285273.6,96601.6,1.7717257477343082,1.5154569583013653,0.034634814833446506,0.0,0.0
